	GVHD_Control_TP1	GVHD_Control_TP1.1	GVHD_Antibiotics_TP1	GVHD_Antibiotics_TP1.1	GVHD_Antibiotics_TP1.2	GVHD_Antibiotics_TP1.3	GVHD_Antibiotics_TP1.4	GVHD_Antibiotics_TP1.5	GVHD_Antibiotics_TP1.6	BM_Antibiotics_TP1	BM_Antibiotics_TP1.1	BM_Antibiotics_TP1.2	BM_Control_TP1	BM_Control_TP1.1	BM_Control_TP1.2	GVHD_Control_TP2	GVHD_Control_TP2.1	GVHD_Control_TP2.2	GVHD_Control_TP2.3	GVHD_Antibiotics_TP2	GVHD_Antibiotics_TP2.1	GVHD_Antibiotics_TP2.2	GVHD_Antibiotics_TP2.3	GVHD_Antibiotics_TP2.4	BM_Antibiotics_TP2	BM_Antibiotics_TP2.1	BM_Antibiotics_TP2.2	BM_Control_TP2	BM_Control_TP2.1	GVHD_Control_TP3	GVHD_Control_TP3.1	GVHD_Antibiotics_TP3	GVHD_Antibiotics_TP3.1	GVHD_Antibiotics_TP3.2	GVHD_Antibiotics_TP3.3	GVHD_Antibiotics_TP3.4	GVHD_Antibiotics_TP3.5	GVHD_Antibiotics_TP3.6	BM_Antibiotics_TP3	BM_Antibiotics_TP3.1	BM_Antibiotics_TP3.2	BM_Control_TP3	BM_Control_TP3.1	Steady_state_TP2	Steady_state_TP2.1	Steady_state_TP3	GVHD_Control_TP4	GVHD_Control_TP4.1	GVHD_Antibiotics_TP4	GVHD_Antibiotics_TP4.1	GVHD_Antibiotics_TP4.2	GVHD_Antibiotics_TP4.3	GVHD_Antibiotics_TP4.4	GVHD_Antibiotics_TP4.5	BM_Antibiotics_TP4	BM_Antibiotics_TP4.1	BM_Antibiotics_TP4.2	BM_Control_TP4
zOTU_1409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0267022696929239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0391236306729265	0.216342153436512	0	0	0	0	0	0	0	0	0	0	0	0	0.120160213618158	0.130718954248366	0	0.192442267319804	0.0195083886071011	0	0	0	0	0	0	0	0	0	0	0	0.291120815138282
zOTU_1410	0	0	0	0	0	0	0	0	0	0	0	0	0.0326299760713509	0.201354567087681	0.0913659205116492	0	0.0388575869438508	0.121536217792902	0.012134449702706	0	0	0	0	0	0	0	0	0.0260824204486176	0.149775336994508	0	0.100603621730382	0	0	0	0	0	0	0	0	0	0	0.0934579439252336	0.0544662309368192	0.0150966183574879	0.0699790062981106	0.0975419430355053	0.0492772667542707	0.0278357689631176	0	0	0	0	0	0	0	0	0	0.161733786187935
zOTU_1412	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0183049606443346	0	0	0.0097143967359627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0699790062981106	0	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_1413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00913659205116491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_1415	0	0	0	0	0	0	0	0	0	0	0	0	0.0108766586904503	0.183049606443346	0.0730927364093193	0.0689813750287422	0.0582863804157762	0	0.024268899405412	0	0	0	0	0	0	0	0	0	0.0166417041105009	0	0	0	0	0	0	0	0	0	0	0	0	0.0267022696929239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0161733786187935
zOTU_1419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0326797385620915	0	0.0699790062981106	0	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_142	0	0	0	0	0	0	0	0	0	0	0	0	0.36980639547531	0.109829763866008	0.0274097761534947	0.0229937916762474	0.116572760831552	0.206611570247934	0.873680378594831	0	0	0	0	0	0	0	0	0	0.0166417041105009	0.0179243592041585	0	0	0	0	0	0	0	0	0	0	0	0.106809078771696	0	0	0.122463261021693	0.760827155676941	0	0	0	0	0	0	0	0	0	0	0	0.808668930939673
zOTU_1420	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0366099212886692	0.0182731841023298	0	0.0194287934719254	0	0	0	0	0	0	0	0	0	0	0	0	0.0179243592041585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.136558720249707	0.0657030223390276	0	0	0	0	0	0	0	0	0	0	0
zOTU_1421	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0549148819330038	0.0365463682046597	0.413888250172453	0.136001554303478	0.0486144871171609	0.012134449702706	0	0	0	0	0	0	0	0	0.0912884715701617	0.349475786320519	0.0896217960207923	0.0823120541430401	0	0	0	0	0	0	0	0	0	0	0.186915887850467	0.174291938997821	0.0754830917874396	0.0524842547235829	0.0390167772142021	0.328515111695138	0.292275574112735	0	0	0	0	0	0	0	0	0	0.0161733786187935
zOTU_1422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_1423	0.0171276869058834	0	0	0	0	0	0	0	0	0	0	0	0.152273221666304	0.0732198425773385	0.264961169483783	0.0459875833524948	0.14571595103944	0.206611570247934	0.18201674554059	0	0	0	0	0	0	0	0	0.195618153364632	0.116491928773506	0.179243592041585	0.146332540698738	0	0	0	0	0	0	0	0	0	0	0.0534045393858478	0.0871459694989107	0.0603864734299517	0.122463261021693	0.214592274678112	0.114980289093298	0.0139178844815588	0	0	0	0	0	0	0	0	0	0.0970402717127608
zOTU_1425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0689813750287422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0133511348464619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_1426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0486144871171609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0905797101449275	0	0.0195083886071011	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_1428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024268899405412	0	0	0	0	0	0	0	0	0	0.0332834082210018	0	0.0365831351746845	0	0	0	0	0	0	0	0	0	0	0.0267022696929239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0161733786187935
zOTU_1429	0.0342553738117667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0699790062981106	0	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_1430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_1431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_1435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0349895031490553	0	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_1437	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0183049606443346	0	0.0229937916762474	0.0097143967359627	0.0121536217792902	0	0	0	0	0	0	0	0	0	0.0521648408972353	0.0332834082210018	0	0	0	0	0	0	0	0	0	0	0	0	0.0133511348464619	0.0108932461873638	0	0	0	0	0.0278357689631176	0	0	0	0	0	0	0	0	0	0
zOTU_1438	0.0171276869058834	0	0	0	0	0	0	0	0	0	0	0	0.141396562975854	0.146439685154677	0.127912288716309	0	0.0680007771517389	0.109382596013612	0.109210047324354	0	0	0	0	0	0	0	0	0.0652060511215441	0.0166417041105009	0.0716974368166338	0.201207243460765	0	0	0	0	0	0	0	0	0	0	0.0801068090787717	0.065359477124183	0.0905797101449275	0.0349895031490553	0.136558720249707	0.0328515111695138	0.0417536534446764	0	0	0	0	0	0	0	0	0	0.129387028950348
zOTU_1439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0699790062981106	0	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_144	0.222659929776484	0.0119674485399713	0	0	0	0	0	0	0	0	0	0	0.0326299760713509	0	0.0274097761534947	0	0	0	0.0849411479189419	0	0	0	0	0	0	0	0	0	0	0.161319232837426	0	0	0	0	0	0	0	0	0	0	0	0.120160213618158	0	0	0.542337298810357	0.156067108856808	0	0.0278357689631176	0	0	0	0	0	0	0	0	0	0.323467572375869
zOTU_1441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_1444	0	0	0	0	0	0	0	0	0	0	0	0	0.0108766586904503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
