	Mouse_6.8	Mous_12.8	Mous_21.8	Mouse_24.8	Mouse_26.8	Mouse_27.8	Mouse_28.8	Mouse_34.8	Mouse_37.8	Mouse_49.8	Mouse_52.8	Mouse_56.8	Mouse_65.8	Mouse_66.8	Mouse_67.8	Mouse_8.8	Mouse_9.8	Mouse_15.8	Mouse_19.8	Mouse_22.8	Mouse_23.8	Mouse_25.8	Mouse_29.8	Mouse_30.8	Mouse_53.8	Mouse_54.8	Mouse_55.8	Mouse_70.8	Mouse_71.8	Mouse_1.8	Mouse_5.8	Mouse_31.8	Mouse_32.8	Mouse_33.8	Mouse_36.8	Mouse_38.8	Mouse_39.8	Mouse_40.8	Mouse_50.8	Mouse_51.8	Mouse_57.8	Mouse_63.8	Mouse_64.8	Mouse_0.8	Mouse_0.16	Mouse_0.24	Mouse_7.8	Mouse_10.8	Mouse_41.8	Mouse_42.8	Mouse_43.8	Mouse_45.8	Mouse_46.8	Mouse_47.8	Mouse_58.8	Mouse_59.8	Mouse_60.8	Mouse_62.8
zOTU_858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.237368661489264	0	0	0.105250364608653	0.210168668850868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0943355119825708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_859	0	0	0	0	0	0	0	0	0	0	0	0	0	0.158520959179938	0	0	0	0	0	0	0	0	0	0	0	0	0	0.112936880542514	0.144117157596938	0	0	0	0	0	0	0	0	0	0	0	0	0	0.188671023965142	0.130736714975845	0.151504548635409	0	0	0	0	0	0	0	0	0	0	0	0	0.140061458838751
zOTU_861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.280122917677503
zOTU_863	0	0	0	0	0	0	0	0	0	0	0	0	0.565151185555797	2.37781438769907	1.66158063042485	0	0	0.526251823043267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.693724966622163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.465674852124037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.280122917677503
zOTU_87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.35524256651017	0.288234315193876	0.776124753540061	1.58404975306384	0	0	0	0	0	0	0	0	0	0	0	0.0943355119825708	11.3740942028986	9.39328201539538	0.33788529067499	0.568988173455979	2.29004871259569	0	0	0	0	0	0	0	0	0	0
zOTU_871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.346862483311081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.199126235916303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.420337337701735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_876	0	0	0	0	0	0	0	0	0	0	0	0	0	0.158520959179938	0.237368661489264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.140061458838751
zOTU_878	0	0	0	0	0	0	0	0	0	0	0	0	0.282575592777899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
